ds,yhat,yhat_lower,yhat_upper
2023-09-06,6709.586775039681,6453.197978832969,6970.033279401403
2023-09-07,6764.888429763515,6475.93758727914,7022.720502427794
2023-09-08,6716.22778576598,6437.577799601089,6977.694511936847
2023-09-09,6737.806397414944,6477.587600528548,6990.095522717475
2023-09-10,6744.307403461925,6480.369860385214,7004.353647878397
2023-09-11,6764.359748503421,6507.339159828059,7018.8140176771985
2023-09-12,6735.62356034339,6473.972437637632,7001.49725796211
2023-09-13,6704.5201607040435,6438.113314370652,6986.748041631709
2023-09-14,6755.760809932625,6484.860365099438,7021.641626561074
2023-09-15,6711.944100798348,6443.981172031042,6980.720671565313
2023-09-16,6732.886497459942,6465.86825263868,6999.281731287294
2023-09-17,6731.156855345816,6466.2218434849,6995.207572935501
2023-09-18,6757.5903556502935,6503.149677585032,7008.897172947326
2023-09-19,6727.758645258439,6458.116977526462,7005.045768760385
2023-09-20,6687.210110627369,6437.516063990123,6933.515069187318
2023-09-21,6750.761888842486,6495.428863010024,7021.238834918805
2023-09-22,6710.13168418552,6447.983790792663,6975.146583237975
2023-09-23,6720.066749455239,6457.184231281114,6971.6447333734595
2023-09-24,6733.293550932147,6475.09399451766,7001.339738776092
2023-09-25,6759.430258706941,6486.02659256196,7023.80890631825
2023-09-26,6722.032576974192,6474.626394617491,6976.052436623975
2023-09-27,6695.957497711012,6449.054493212109,6958.164727493542
2023-09-28,6753.48237590688,6482.690107598094,7007.559590728941
2023-09-29,6708.282534283821,6450.333582340565,6968.684707851719
2023-09-30,6727.579903222451,6468.321501841093,6995.152536070896
2023-10-01,6618.160250977563,6342.419753542241,6878.447256444569
2023-10-02,6648.293417623154,6392.123856690963,6902.417805072161
2023-10-03,6610.445145210516,6333.481273903671,6849.718575670166
2023-10-04,6580.750981623425,6321.511193582916,6851.034963542233
2023-10-05,6636.254368073921,6381.363815975012,6887.090331425881
2023-10-06,6592.420592876452,6332.617286249038,6867.364562709566
2023-10-07,6610.355057512832,6355.01550092786,6888.744178033436
2023-10-08,6617.249636227539,6360.168459841201,6874.07871969229
2023-10-09,6641.329121644573,6376.971545744134,6908.3259245249
2023-10-10,6605.932414588881,6340.540755528108,6871.554181601446
2023-10-11,6569.533862528014,6308.058642194299,6827.246789262457
2023-10-12,6623.906555853234,6354.869752892037,6904.138831146119
2023-10-13,6577.135534085875,6287.8181954387865,6833.696928131646
2023-10-14,6591.326285607918,6347.071661013582,6860.291993754421
2023-10-15,6590.558464183005,6320.868541250155,6860.947608843182
2023-10-16,6613.664607456762,6358.753674561299,6880.859262560418
2023-10-17,6572.4254132963415,6305.211757471396,6824.726280555566
2023-10-18,6532.71578962455,6271.121482319416,6795.016245033522
2023-10-19,6582.006594558322,6320.171782845371,6852.853523817699
2023-10-20,6535.648289948709,6274.007015864329,6789.334772820567
2023-10-21,6546.3793544104265,6288.314166931447,6839.513421263599
2023-10-22,6550.723292486132,6275.959530746499,6819.1250610879115
2023-10-23,6572.985236280332,6310.862122010064,6824.091554485654
2023-10-24,6530.109459974422,6253.8905425110825,6808.299613703901
2023-10-25,6494.144020332278,6237.971706866945,6778.570558763248
2023-10-26,6552.165696183051,6295.306931702971,6813.238184535697
2023-10-27,6498.658320229899,6238.754074223992,6763.997635605791
2023-10-28,6519.670459474237,6251.32883446121,6795.14322863729
2023-10-29,6522.394269779841,6233.350820147872,6789.304058873127
2023-10-30,6553.529199680536,6257.445962223166,6802.115064289922
2023-10-31,6514.94606475066,6268.315207513855,6784.66528286924
2023-11-01,6532.508622878481,6247.318027141518,6795.648511284207
2023-11-02,6595.621453674222,6331.351938453462,6861.788776691355
2023-11-03,6551.844633568961,6299.791590921556,6819.439005645324
2023-11-04,6580.395507558223,6311.759524435883,6840.5500449284145
2023-11-05,6590.425546259894,6319.782401709636,6861.7172138358
2023-11-06,6635.115649686604,6376.664477528545,6921.071935678633
2023-11-07,6597.213760163329,6336.328951426543,6858.172731555467
2023-11-08,6581.030495094973,6292.216213447628,6853.23988804706
2023-11-09,6649.784274453665,6377.268406884349,6895.514386939731
2023-11-10,6614.883736897995,6348.87970647754,6878.998150506845
2023-11-11,6643.607737973651,6400.174632600047,6921.853518761712
2023-11-12,6661.630440848681,6392.021052889264,6936.500902191802
2023-11-13,6703.906061916354,6434.421943388842,6967.9070293105715
2023-11-14,6683.201819909957,6417.5157142186235,6940.118279580438
2023-11-15,6657.857093986042,6397.980477128254,6939.944429017537
2023-11-16,6729.247345983443,6467.088797090448,6985.33471376585
2023-11-17,6692.037929452027,6416.107754191513,6959.817230181259
2023-11-18,6722.577343886446,6440.213706197882,6992.2214544452745
2023-11-19,6736.812233707041,6473.163021197004,7005.119042881134
2023-11-20,6769.925886869147,6499.698383481447,7027.920181595375
2023-11-21,6739.695405948012,6468.391090519323,7004.822629215014
2023-11-22,6711.47067870861,6452.382261422347,6990.041393820574
2023-11-23,6774.30336854964,6512.505385409882,7022.671190768361
2023-11-24,6732.252261962985,6462.478765757949,6998.47756656151
2023-11-25,6752.400676640058,6490.930325400469,7021.484568086593
2023-11-26,6757.966204410091,6494.6866392067905,7015.671762363667
2023-11-27,6783.183962850371,6520.4673737724615,7040.736210384708
